Country,Code,Longitude,Latitude,Year,Month,Temperature,Tourists
Japan,JPN,138.252924,36.204824,2017,April,8.70,2550000
Mexico,MEX,-102.552784,23.634501,2017,April,21.28,1864579
Spain,ESP,-3.74922,40.463667,2017,April,10.65,7060040
Switzerland,CHE,46.818188,8.227512,2017,April,3.35,1294000
United Kingdom,GBR,-3.435973,55.378051,2017,April,6.74,3720000
Turkey,TUR,35.243322,38.963745,2017,April,10.02,2000000
Egypt,EGY,30.802498,26.820553,2017,April,22.44,716000
Jordan,JOR,36.238414,30.585164,2017,April,17.72,665700
Austria,AUT,14.550072,47.516231,2017,April,5.51,2685100
Bulgaria,BGR,25.48583,42.733883,2017,April,9.92,700000
Argentina,ARG,-63.616672,-38.416097,2017,May,10.65,180000
Australia,AUS,133.775136,-25.274398,2017,May,17.86,580500
Canada,CAN,-106.346771,56.130366,2017,May,-0.29,2505000
India,IND,78.96288,20.593684,2017,May,29.53,630000
Indonesia,IDN,113.921327,-0.789275,2017,May,26.04,940000
Japan,JPN,138.252924,36.204824,2017,May,13.52,2300000
Mexico,MEX,-102.552784,23.634501,2017,May,23.46,1702077
Spain,ESP,-3.74922,40.463667,2017,May,14.27,7943830
Switzerland,CHE,46.818188,8.227512,2017,May,7.44,1507000
United Kingdom,GBR,-3.435973,55.378051,2017,May,9.82,3520000
Turkey,TUR,35.243322,38.963745,2017,May,14.47,3000000
Egypt,EGY,30.802498,26.820553,2017,May,26.26,574000
Jordan,JOR,36.238414,30.585164,2017,May,21.92,516700
Austria,AUT,14.550072,47.516231,2017,May,10.12,2778000
Bulgaria,BGR,25.48583,42.733883,2017,May,14.99,850000
Argentina,ARG,-63.616672,-38.416097,2017,June,7.66,170500
Australia,AUS,133.775136,-25.274398,2017,June,14.83,600000
Canada,CAN,-106.346771,56.130366,2017,June,7.24,3600000
India,IND,78.96288,20.593684,2017,June,28.96,670000
Indonesia,IDN,113.921327,-0.789275,2017,June,25.59,910000
Japan,JPN,138.252924,36.204824,2017,June,17.34,2350000
Mexico,MEX,-102.552784,23.634501,2017,June,24.96,2030609
Spain,ESP,-3.74922,40.463667,2017,June,18.49,8432080
Switzerland,CHE,46.818188,8.227512,2017,June,10.78,1824000
United Kingdom,GBR,-3.435973,55.378051,2017,June,12.77,3510000
Turkey,TUR,35.243322,38.963745,2017,June,18.54,3500000
Egypt,EGY,30.802498,26.820553,2017,June,28.82,533000
Jordan,JOR,36.238414,30.585164,2017,June,25.23,638500
Austria,AUT,14.550072,47.516231,2017,June,13.29,3833800
Bulgaria,BGR,25.48583,42.733883,2017,June,18.64,1450000
Argentina,ARG,-63.616672,-38.416097,2017,July,7.42,220000
Australia,AUS,133.775136,-25.274398,2017,July,13.95,750000
Canada,CAN,-106.346771,56.130366,2017,July,11.11,4500000
India,IND,78.96288,20.593684,2017,July,26.91,790000
Indonesia,IDN,113.921327,-0.789275,2017,July,25.27,1140000
Japan,JPN,138.252924,36.204824,2017,July,21.34,2700000
Mexico,MEX,-102.552784,23.634501,2017,July,24.90,2161572
Spain,ESP,-3.74922,40.463667,2017,July,22.03,10510530
Switzerland,CHE,46.818188,8.227512,2017,July,13.03,2138000
United Kingdom,GBR,-3.435973,55.378051,2017,July,14.44,4020000
Turkey,TUR,35.243322,38.963745,2017,July,21.83,5100000
Egypt,EGY,30.802498,26.820553,2017,July,29.12,781000
Jordan,JOR,36.238414,30.585164,2017,July,26.90,703500
Austria,AUT,14.550072,47.516231,2017,July,15.26,5178500
Bulgaria,BGR,25.48583,42.733883,2017,July,20.85,2000000
Argentina,ARG,-63.616672,-38.416097,2017,August,9.02,210000
Australia,AUS,133.775136,-25.274398,2017,August,15.71,700000
Canada,CAN,-106.346771,56.130366,2017,August,9.52,4100000
India,IND,78.96288,20.593684,2017,August,26.23,700000
Indonesia,IDN,113.921327,-0.789275,2017,August,25.39,1170000
Japan,JPN,138.252924,36.204824,2017,August,22.74,2450000
Mexico,MEX,-102.552784,23.634501,2017,August,24.70,1656126
Spain,ESP,-3.74922,40.463667,2017,August,21.83,10426030
Switzerland,CHE,46.818188,8.227512,2017,August,12.54,2110000
United Kingdom,GBR,-3.435973,55.378051,2017,August,14.29,3940000
Turkey,TUR,35.243322,38.963745,2017,August,21.65,4700000
Egypt,EGY,30.802498,26.820553,2017,August,29.10,820000
Jordan,JOR,36.238414,30.585164,2017,August,26.91,731000
Austria,AUT,14.550072,47.516231,2017,August,14.98,5349500
Bulgaria,BGR,25.48583,42.733883,2017,August,20.49,2100000
Argentina,ARG,-63.616672,-38.416097,2017,September,11.53,200000
Australia,AUS,133.775136,-25.274398,2017,September,18.89,690000
Canada,CAN,-106.346771,56.130366,2017,September,3.45,3100000
India,IND,78.96288,20.593684,2017,September,26.05,700000
Indonesia,IDN,113.921327,-0.789275,2017,September,25.63,1040000
Japan,JPN,138.252924,36.204824,2017,September,18.76,2300000
Mexico,MEX,-102.552784,23.634501,2017,September,23.58,1284268
Spain,ESP,-3.74922,40.463667,2017,September,19.01,8835230
Switzerland,CHE,46.818188,8.227512,2017,September,10.14,1876000
United Kingdom,GBR,-3.435973,55.378051,2017,September,12.21,3090000
Turkey,TUR,35.243322,38.963745,2017,September,18.11,4000000
Egypt,EGY,30.802498,26.820553,2017,September,27.28,733000
Jordan,JOR,36.238414,30.585164,2017,September,24.85,609700
Austria,AUT,14.550072,47.516231,2017,September,12.09,3764800
Bulgaria,BGR,25.48583,42.733883,2017,September,16.85,1250000
Argentina,ARG,-63.616672,-38.416097,2017,October,14.67,220100
Australia,AUS,133.775136,-25.274398,2017,October,22.46,720000
Canada,CAN,-106.346771,56.130366,2017,October,-4.36,2400000
India,IND,78.96288,20.593684,2017,October,24.52,870000
Indonesia,IDN,113.921327,-0.789275,2017,October,25.99,940000
Japan,JPN,138.252924,36.204824,2017,October,12.78,2600000
Mexico,MEX,-102.552784,23.634501,2017,October,21.07,1504750
Spain,ESP,-3.74922,40.463667,2017,October,14.03,7265490
Switzerland,CHE,46.818188,8.227512,2017,October,6.08,1554000
